"gene.id","FLXsexFLXauto","FLXsexCFMsex","FLXsexCFMauto","FLXautoCFMsex","FLXautoCFMauto","CFMsexCFMauto"
"FBgn0031081","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"FBgn0052826","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0031085","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0062565","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0031088","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0041626","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040784","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0031086","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0031082","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0031080","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"FBgn0052821","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0053217","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0052350","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0024733","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"FBgn0040372","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0000316","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0024989","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE"
"FBgn0040371","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0029521","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0004034","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE"
"FBgn0000022","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0004170","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0002561","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"FBgn0000137","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0052817","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0029524","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"
"FBgn0023536","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0023534","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"FBgn0023535","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"FBgn0023537","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0029525","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0029523","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0010019","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0011822","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0052816","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040370","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"FBgn0040373","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0000108","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0025640","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0025635","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0001341","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0003575","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0025634","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0025638","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"FBgn0040383","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0040382","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0027343","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"FBgn0025621","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0029535","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0026874","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0025616","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0015799","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0025620","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0015288","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0029532","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0029531","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE"
"FBgn0025639","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0002579","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"FBgn0026879","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"FBgn0029529","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0025633","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040892","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040341","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0029539","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040339","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0052815","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0040340","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040347","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0042146","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0029552","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040337","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040398","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040365","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040397","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0026143","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040351","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"FBgn0040338","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"FBgn0040350","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040349","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0040348","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0040346","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040342","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040345","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040343","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0052814","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040364","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040362","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040361","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040360","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040359","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE"
"FBgn0040358","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE"
"FBgn0029568","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040357","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0040367","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0025642","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0004650","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0024362","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE"
"FBgn0024361","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0024364","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0029573","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE"
"FBgn0024987","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0023169","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0052813","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0024985","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0027794","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0027795","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0024986","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0000826","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0024365","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0024360","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0024366","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE"
"FBgn0025641","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0052811","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"FBgn0028550","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"FBgn0026876","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040366","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0040363","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"FBgn0040368","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"FBgn0026872","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
