Accession,Glean.Accession,Annotation.symbol,FlyBase.ID,CG.ID,MF.Ratio,P.value
GLEAN_16549,GLEAN_16549,GA24265,FBgn0012691,CG18730,1.128807908,6.11E-08
GLEAN_18462,GLEAN_18462,GA24912,FBgn0012692,CG18730,1.893427262,0
GLEAN_18463,GLEAN_18463,GA24912,FBgn0012692,CG18730,1.110723714,6.62E-08
GLEAN_14599,GLEAN_14599,GA14884,FBgn0012694,CG18315,0.738873863,3.00E-15
GLEAN_06467,GLEAN_06467,GA15291,FBgn0012695,CG2189,0.817902059,2.19E-12
GA21397,,GA21397,FBgn0012698,CG8893,0.953866982,0.28953659
GLEAN_07676,GLEAN_07676,GA21397,FBgn0012698,CG8893,0.966311342,0.45196491
GLEAN_03453,GLEAN_03453,GA11047,FBgn0012699,CG1152,1.014585185,0.87141184
GLEAN_14684,GLEAN_14684,GA11622,FBgn0012701,CG1242,0.390285021,0
GLEAN_05114,GLEAN_05114,GA20704,FBgn0012704,CG7939,0.542539469,0
GLEAN_04921,GLEAN_04921,GA18996,FBgn0012706,CG5596,1.933346199,0
GLEAN_06207,GLEAN_06207,GA14120,FBgn0012708,CG16740,1.046113944,0.00018049
GLEAN_06952,GLEAN_06952,GA10619,FBgn0012709,CG10888,1.261464844,0
GLEAN_08973,GLEAN_08973,GA28288,FBgn0012710,CG9668,1.665666993,0
GLEAN_04875,GLEAN_04875,GA18922,FBgn0012714,CG5490,0.891928519,0
GLEAN_02593,GLEAN_02593,GA20153,FBgn0012716,CG7171,1.873972783,0
GLEAN_19685,GLEAN_19685,GA25439,FBgn0012717,CG31628,0.735552387,1.00E-15
GLEAN_07534,GLEAN_07534,GA15420,FBgn0012725,CG2671,0.755393356,5.00E-15
GLEAN_06865,GLEAN_06865,GA18249,FBgn0012733,CG4550,2.639381692,2.00E-15
GLEAN_04441,GLEAN_04441,GA20500,FBgn0012736,CG7642,1.073260286,0.0000152
GLEAN_00890,GLEAN_00890,GA28347,FBgn0014783,CG8994,1.549604448,5.00E-15
GLEAN_05115,GLEAN_05115,GA20699,FBgn0015151,CG7933,0.808713164,8.01E-09
GLEAN_15621,GLEAN_15621,GA11202,FBgn0016313,CG11793,0.897758928,0.00000141
GLEAN_13374,GLEAN_13374,GA13798,FBgn0022538,CG1554,0.875573381,5.00E-15
GLEAN_00292,GLEAN_00292,GA22111,FBgn0022854,CG9900,0.818242285,2.00E-15
GLEAN_19046,GLEAN_19046,GA20901,FBgn0023293,CG8210,1.087865351,0.00000298
GLEAN_05336,GLEAN_05336,GA15281,FBgn0023294,CG2171,0.979814129,0.2365064
GLEAN_15383,GLEAN_15383,GA13411,FBgn0023295,CG14994,1.0258857,0.00020239
GLEAN_01957,GLEAN_01957,GA14598,FBgn0023296,CG17654,1.030603931,0.30403212
GLEAN_00141,GLEAN_00141,GA22120,FBgn0023297,CG9916,0.514342046,0
GLEAN_15409,GLEAN_15409,GA22120,FBgn0023297,CG9916,0.641268301,2.63E-10
GLEAN_13041,GLEAN_13041,GA17446,FBgn0027807,CG3429,0.412681308,0
GLEAN_10183,GLEAN_10183,GA10357,FBgn0046148,CG10501,0.946753005,1.30E-14
GLEAN_18824,GLEAN_18824,GA13847,FBgn0061260,CG15611,1.035164466,0.00000228
