,GAFupsig.oddsratio,GAFupsig.pval,GAFupsig.adjpval,GAFdownsig.oddsratio,GAFdownsig.pval,GAFdownsig.adjpval,GBFupsig.oddsratio,GBFupsig.pval,GBFupsig.adjpval,GBFdownsig.oddsratio,GBFdownsig.pval,GBFdownsig.adjpval,GCFupsig.oddsratio,GCFupsig.pval,GCFupsig.adjpval,GCFdownsig.oddsratio,GCFdownsig.pval,GCFdownsig.adjpval,GDFupsig.oddsratio,GDFupsig.pval,GDFupsig.adjpval,GDFdownsig.oddsratio,GDFdownsig.pval,GDFdownsig.adjpval,GEFupsig.oddsratio,GEFupsig.pval,GEFupsig.adjpval,GEFdownsig.oddsratio,GEFdownsig.pval,GEFdownsig.adjpval,GFFupsig.oddsratio,GFFupsig.pval,GFFupsig.adjpval,GFFdownsig.oddsratio,GFFdownsig.pval,GFFdownsig.adjpval,GGFupsig.oddsratio,GGFupsig.pval,GGFupsig.adjpval,GGFdownsig.oddsratio,GGFdownsig.pval,GGFdownsig.adjpval
Accessory glands,0.232425518,0.985826412,17.74487541,0.932042232,0.715520341,12.87936613,0.754510069,0.87849648,15.81293663,0.733546341,0.858147143,15.44664858,2.189987991,0.013115233,0.236074194,0.493086167,0.980032801,17.64059042,2.005446866,0.023326616,0.419879096,0.429604392,0.981657655,17.66983779,0,1,18,0.464844395,0.970293172,17.46527709,0.782879959,0.724793277,13.04627899,0.823104414,0.743039466,13.37471038,0,1,18,0.152546524,0.998426303,17.97167345
Brain,0.703411545,0.861448304,15.50606947,4.151588151,4.69E-111,8.44E-110,0.932293448,0.686417488,12.35551478,1.069179728,0.392240252,7.060324534,0.983800656,0.564010147,10.15218265,1.664825045,0.002015181,0.036273267,0.609636797,0.952963602,17.15334484,1.975651255,0.000207127,0.003728279,0.12639513,0.999532251,17.99158052,1.720582115,0.004810519,0.086589334,0.662673229,0.803573962,14.46433131,3.138615119,5.15E-11,9.27E-10,1.32932979,0.258415903,4.651486245,0.870904051,0.722944018,13.01299232
Carcass,0.885046925,0.694028744,12.49251739,1.914703799,1.86E-21,3.34E-20,1.104808632,0.257628569,4.637314234,2.071914507,5.67E-07,1.02E-05,1.294639743,0.163496016,2.942928297,2.721891819,6.89E-13,1.24E-11,1.372619693,0.096406057,1.735309033,1.810253445,0.000464713,0.008364829,1.452006977,0.140337136,2.52606845,1.881145065,0.000306157,0.005510818,1.396166041,0.313449615,5.642093065,3.635560413,1.40E-16,2.52E-15,1.562272016,0.097913816,1.762448684,2.668086118,2.25E-07,4.05E-06
Crop,2.27599181,0.000521004,0.009378081,1.553349224,5.55E-10,1.00E-08,1.766601392,3.72E-06,6.69E-05,2.104013002,2.96E-07,5.32E-06,0.952813385,0.610701036,10.99261864,2.382972111,1.23E-09,2.22E-08,1.501064977,0.041030263,0.738544736,2.304137424,3.34E-07,6.02E-06,0.957497443,0.59979055,10.7962299,2.08919784,1.94E-05,0.00034945,1.392400241,0.315286775,5.675161956,3.28666818,7.14E-14,1.28E-12,2.146083789,0.006169937,0.111058862,1.578033945,0.021522245,0.387400417
Eye,1.194282606,0.268347758,4.830259646,2.592341763,2.82E-62,5.07E-61,1.134302276,0.162070222,2.917263988,1.827766874,4.49E-06,8.08E-05,1.627181242,0.009131969,0.164375451,2.264888965,2.03E-10,3.65E-09,1.735655131,0.002246249,0.040432477,2.11838025,3.72E-07,6.70E-06,1.464476478,0.097463359,1.754340454,2.038090925,3.78E-06,6.81E-05,0.542430609,0.906953439,16.3251619,3.272997396,1.72E-16,3.09E-15,1.475323452,0.100569756,1.810255608,1.829234414,0.00067361,0.012124989
Fat body,1.174703118,0.448711145,8.076800615,1.11124248,0.245561319,4.420103734,1.067885817,0.436172804,7.851110477,1.112413149,0.409337427,7.368073685,0.858717345,0.684703882,12.32466987,2.560949876,8.13E-05,0.001462808,1.613550143,0.136906481,2.46431666,1.075718568,0.470993646,8.477885632,2.393904875,0.047476445,0.85457601,1.165380982,0.387740865,6.979335574,0.966051625,0.649805754,11.69650357,2.730219825,0.000280015,0.005040264,0,1,18,0.764798458,0.765273531,13.77492356
Head,0.92179361,0.676094992,12.16970986,3.841907839,2.33E-163,4.19E-162,0.85306252,0.933784569,16.80812224,1.66013367,1.12E-05,0.00020237,1.136197555,0.266594032,4.798692571,3.220627387,3.13E-26,5.63E-25,0.958637267,0.620182022,11.1632764,2.579051186,1.33E-13,2.39E-12,1.24363754,0.20872514,3.757052512,2.17131249,8.77E-09,1.58E-07,0.563937036,0.928070986,16.70527774,4.910377871,2.92E-35,5.26E-34,1.134197226,0.345365688,6.216582379,2.037101717,4.44E-06,7.99E-05
Heart,1.3228976,0.174879989,3.147839794,1.566943007,6.69E-11,1.20E-09,1.39305571,0.005913177,0.106437193,1.599663844,0.001265786,0.02278415,2.101553998,0.00023721,0.004269776,2.156652207,5.76E-08,1.04E-06,1.699226208,0.007167272,0.129010891,1.750524755,0.00070156,0.012628079,2.672609235,0.000134635,0.002423431,2.075070853,1.39E-05,0.000250861,0.726335999,0.779694694,14.03450449,2.787036672,1.42E-10,2.55E-09,1.834792737,0.025688846,0.462399232,1.764461706,0.003499848,0.062997259
Hindgut,2.155583132,0.001843094,0.033175695,1.450216452,6.00E-07,1.08E-05,1.431592235,0.005320445,0.095768004,2.586003337,4.69E-11,8.45E-10,1.352819744,0.129912964,2.33843335,2.50623451,3.51E-10,6.31E-09,1.302797452,0.156061394,2.809105088,2.493949265,4.25E-08,7.66E-07,1.060258832,0.485332248,8.735980463,2.019876529,8.95E-05,0.001611091,2.2933298,0.049497413,0.89095344,1.850072134,0.000693849,0.012489283,2.042352737,0.013406035,0.241308621,1.46292056,0.058136622,1.046459193
Malpighian tubule,1.982561986,0.002185557,0.039340029,1.213620866,0.00304654,0.054837714,1.341905286,0.009696884,0.17454391,2.169351959,7.21E-09,1.30E-07,1.740528352,0.004523995,0.081431904,2.215177536,3.28E-09,5.91E-08,2.392417448,1.69E-06,3.05E-05,2.580043195,2.10E-10,3.77E-09,1.248291127,0.26270612,4.728710153,1.567586007,0.005836819,0.105062741,1.932864264,0.081733107,1.471195926,1.783223625,0.000383612,0.006905022,1.232491062,0.286232477,5.152184593,1.742850438,0.002745258,0.049414646
