From,To,Species,Gene Name
FBgn0022160,47611,Drosophila melanogaster,Glycerophosphate oxidase-1(Gpo-1)
FBgn0038795,42421,Drosophila melanogaster,CG4335 gene product from transcript CG4335-RA(CG4335)
FBgn0033490,36065,Drosophila melanogaster,CG12917 gene product from transcript CG12917-RB(CG12917)
FBgn0038797,42423,Drosophila melanogaster,Dicarboxylate carrier 2(Dic2)
FBgn0266582,38378,Drosophila melanogaster,NADH dehydrogenase (ubiquinone) 30 kDa subunit(ND-30)
FBgn0001220,36583,Drosophila melanogaster,Heat shock protein cognate 5(Hsc70-5)
FBgn0035334,38301,Drosophila melanogaster,CG8993 gene product from transcript CG8993-RA(CG8993)
FBgn0003360,32007,Drosophila melanogaster,stress-sensitive B(sesB)
FBgn0052649,32239,Drosophila melanogaster,CG32649 gene product from transcript CG32649-RA(CG32649)
FBgn0032229,34402,Drosophila melanogaster,CG5045 gene product from transcript CG5045-RB(CG5045)
FBgn0032222,34394,Drosophila melanogaster,CG5037 gene product from transcript CG5037-RA(CG5037)
FBgn0027088,39644,Drosophila melanogaster,Glycyl-tRNA synthetase(Aats-gly)
FBgn0263977,3355107,Drosophila melanogaster,CG40451 gene product from transcript CG40451-RA(Tim17b)
FBgn0013685,19893555,Drosophila melanogaster,NADH dehydrogenase subunit 6(ND6)
FBgn0027084,31904,Drosophila melanogaster,Lysyl-tRNA synthetase(Aats-lys)
FBgn0035473,38459,Drosophila melanogaster,maggie(mge)
FBgn0027085,38581,Drosophila melanogaster,Leucyl-tRNA synthetase(Aats-leu)
FBgn0027087,32841,Drosophila melanogaster,Histidyl-tRNA synthetase(Aats-his)
FBgn0039674,43483,Drosophila melanogaster,CG1907 gene product from transcript CG1907-RA(CG1907)
FBgn0027081,45784,Drosophila melanogaster,Threonyl-tRNA synthetase(Aats-thr)
FBgn0027082,38331,Drosophila melanogaster,Prolyl-tRNA synthetase(Aats-pro)
FBgn0016041,44978,Drosophila melanogaster,Translocase of outer membrane 40(Tom40)
FBgn0027083,41733,Drosophila melanogaster,mitochondrial methionyl-tRNA synthetase(Aats-met-m)
FBgn0034735,37571,Drosophila melanogaster,CG4610 gene product from transcript CG4610-RA(CG4610)
FBgn0051007,318553,Drosophila melanogaster,CG31007 gene product from transcript CG31007-RA(CG31007)
FBgn0051008,318554,Drosophila melanogaster,CG31008 gene product from transcript CG31008-RA(CG31008)
FBgn0015245,32045,Drosophila melanogaster,Heat shock protein 60(Hsp60)
FBgn0051682,318883,Drosophila melanogaster,Testis EndoG-Like 1(Tengl1)
FBgn0001941,33836,Drosophila melanogaster,infertile crescent(ifc)
FBgn0040079,34957,Drosophila melanogaster,CG4132 gene product from transcript CG4132-RA(pkaap)
