sample,rep_pop,sex_chrom,auto,type,sex,nested.RP
101,RP2,Cwt,FLX,bCwtsFLXa,m,2
102,RP3,Cwt,FLX,bCwtsFLXa,f,3
103,RP1,Cwt,CFM,dCwtsCFMa,f,1
104,RP4,FLX,Cwt,aFLXsCwta,m,4
105,RP2,CFM,Cwt,cCFMsCwta,f,2
106,RP3,Cwt,FLX,bCwtsFLXa,m,3
107,RP1,Cwt,FLX,bCwtsFLXa,f,1
108,RP4,CFM,Cwt,cCFMsCwta,f,4
109,RP4,CFM,Cwt,cCFMsCwta,f,4
110,RP2,Cwt,FLX,bCwtsFLXa,m,2
111,RP3,Cwt,FLX,bCwtsFLXa,f,3
112,RP1,Cwt,CFM,dCwtsCFMa,f,1
113,RP4,FLX,Cwt,aFLXsCwta,m,4
114,RP2,CFM,Cwt,cCFMsCwta,f,2
115,RP3,Cwt,FLX,bCwtsFLXa,m,3
116,RP1,Cwt,FLX,bCwtsFLXa,f,1
117,RP1,Cwt,FLX,bCwtsFLXa,f,1
118,RP4,CFM,Cwt,cCFMsCwta,f,4
119,RP2,Cwt,FLX,bCwtsFLXa,m,2
120,RP3,Cwt,FLX,bCwtsFLXa,f,3
121,RP1,Cwt,CFM,dCwtsCFMa,f,1
122,RP4,FLX,Cwt,aFLXsCwta,m,4
123,RP2,CFM,Cwt,cCFMsCwta,f,2
124,RP3,Cwt,FLX,bCwtsFLXa,m,3
125,RP1,Cwt,CFM,dCwtsCFMa,m,1
126,RP4,CFM,Cwt,cCFMsCwta,m,4
127,RP2,Cwt,CFM,dCwtsCFMa,m,2
128,RP3,Cwt,CFM,dCwtsCFMa,f,3
129,RP1,FLX,Cwt,aFLXsCwta,m,1
130,RP3,CFM,Cwt,cCFMsCwta,m,3
131,RP4,FLX,Cwt,aFLXsCwta,f,4
132,RP2,Cwt,FLX,bCwtsFLXa,f,2
133,RP2,Cwt,FLX,bCwtsFLXa,f,2
134,RP1,Cwt,CFM,dCwtsCFMa,m,1
135,RP4,CFM,Cwt,cCFMsCwta,m,4
136,RP2,Cwt,CFM,dCwtsCFMa,m,2
137,RP3,Cwt,CFM,dCwtsCFMa,f,3
138,RP1,FLX,Cwt,aFLXsCwta,m,1
139,RP3,CFM,Cwt,cCFMsCwta,m,3
140,RP4,FLX,Cwt,aFLXsCwta,f,4
141,RP4,FLX,Cwt,aFLXsCwta,f,4
142,RP2,Cwt,FLX,bCwtsFLXa,f,2
143,RP1,Cwt,CFM,dCwtsCFMa,m,1
144,RP4,CFM,Cwt,cCFMsCwta,m,4
145,RP2,Cwt,CFM,dCwtsCFMa,m,2
146,RP3,Cwt,CFM,dCwtsCFMa,f,3
147,RP1,FLX,Cwt,aFLXsCwta,m,1
148,RP3,CFM,Cwt,cCFMsCwta,m,3
149,RP1,FLX,Cwt,aFLXsCwta,f,1
150,RP2,FLX,Cwt,aFLXsCwta,m,2
151,RP4,Cwt,CFM,dCwtsCFMa,m,4
152,RP3,CFM,Cwt,cCFMsCwta,f,3
153,RP2,Cwt,CFM,dCwtsCFMa,f,2
154,RP4,Cwt,FLX,bCwtsFLXa,f,4
155,RP1,CFM,Cwt,cCFMsCwta,m,1
156,RP3,FLX,Cwt,aFLXsCwta,m,3
157,RP3,FLX,Cwt,aFLXsCwta,m,3
158,RP1,FLX,Cwt,aFLXsCwta,f,1
159,RP2,FLX,Cwt,aFLXsCwta,m,2
160,RP4,Cwt,CFM,dCwtsCFMa,m,4
161,RP3,CFM,Cwt,cCFMsCwta,f,3
162,RP2,Cwt,CFM,dCwtsCFMa,f,2
163,RP4,Cwt,FLX,bCwtsFLXa,f,4
164,RP1,CFM,Cwt,cCFMsCwta,m,1
165,RP1,CFM,Cwt,cCFMsCwta,m,1
166,RP3,FLX,Cwt,aFLXsCwta,m,3
167,RP1,FLX,Cwt,aFLXsCwta,f,1
168,RP2,FLX,Cwt,aFLXsCwta,m,2
169,RP4,Cwt,CFM,dCwtsCFMa,m,4
170,RP3,CFM,Cwt,cCFMsCwta,f,3
171,RP2,Cwt,CFM,dCwtsCFMa,f,2
172,RP4,Cwt,FLX,bCwtsFLXa,f,4
173,RP4,Cwt,CFM,dCwtsCFMa,f,4
174,RP1,Cwt,FLX,bCwtsFLXa,m,1
175,RP3,Cwt,CFM,dCwtsCFMa,m,3
176,RP2,FLX,Cwt,aFLXsCwta,f,2
177,RP3,FLX,Cwt,aFLXsCwta,f,3
178,RP1,CFM,Cwt,cCFMsCwta,f,1
179,RP4,Cwt,FLX,bCwtsFLXa,m,4
180,RP2,CFM,Cwt,cCFMsCwta,m,2
181,RP2,CFM,Cwt,cCFMsCwta,m,2
182,RP4,Cwt,CFM,dCwtsCFMa,f,4
183,RP1,Cwt,FLX,bCwtsFLXa,m,1
184,RP3,Cwt,CFM,dCwtsCFMa,m,3
185,RP2,FLX,Cwt,aFLXsCwta,f,2
186,RP3,FLX,Cwt,aFLXsCwta,f,3
187,RP1,CFM,Cwt,cCFMsCwta,f,1
188,RP4,Cwt,FLX,bCwtsFLXa,m,4
189,RP4,Cwt,FLX,bCwtsFLXa,m,4
190,RP2,CFM,Cwt,cCFMsCwta,m,2
191,RP4,Cwt,CFM,dCwtsCFMa,f,4
192,RP1,Cwt,FLX,bCwtsFLXa,m,1
193,RP3,Cwt,CFM,dCwtsCFMa,m,3
194,RP2,FLX,Cwt,aFLXsCwta,f,2
195,RP3,FLX,Cwt,aFLXsCwta,f,3
196,RP1,CFM,Cwt,cCFMsCwta,f,1
