"gene.id","g26","g26up","g26down","g33","g33up","g33down","g36","g36up","g36down","g55","g55up","g55down","Overall","chr"
"FBgn0031081","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0052826","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0031085","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0062565","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0031088","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0041626","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0040784","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0031086","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0031082","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0031080","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0052821","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0053217","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","3L"
"FBgn0052350","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","3L"
"FBgn0024733","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","3L"
"FBgn0040372","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0000316","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0024989","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0040371","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
"FBgn0029521","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","NotSig","X"
