ID,GAnumber,Average.intensity,log2,t,adj.p.value
GLEAN_07275,GA25504,7.659985211,-3.336504468,-8.264791326,5.96E-07
GLEAN_10152,GA29241,7.363323152,-2.953622365,-9.163921653,6.65E-08
GLEAN_04622,GA26670,12.9211103,-2.466739435,-11.22566572,1.17E-09
GLEAN_04620,GA26668,9.964471679,-2.458714522,-12.14090241,1.59E-10
GLEAN_07273,GA25502,8.128747876,-2.425225787,-7.478144748,3.04E-06
GLEAN_04621,GA26669,11.22005591,-2.23464518,-10.81342016,2.15E-09
GLEAN_18085,GA24796,7.407492068,-2.16902641,-3.634677863,0.011761275
GLEAN_04618,GA26667,10.68315909,-2.16799287,-9.379257815,3.91E-08
GLEAN_10082,GA25505,8.754578944,-2.134245534,-5.022945817,0.000710909
GLEAN_14115,GA23334,8.991431978,-1.951147914,-4.119581711,0.004637119
GLEAN_04617,GA26666,9.214829305,-1.867004714,-6.518638195,2.31E-05
GLEAN_19601,GA25393,6.889003296,-1.811073747,-5.171772427,0.000507832
GLEAN_14289,GA14139,10.09605558,-1.79581212,-3.54762198,0.0138554
GLEAN_16314,GA24185,8.346803607,-1.784255014,-4.252339502,0.003544708
GLEAN_04619,GA19482,11.64840568,-1.778167831,-10.16732739,8.25E-09
GLEAN_15549,GA10337,13.11567152,-1.739428546,-6.974436896,8.87E-06
GLEAN_10198,GA22161,10.91813543,-1.727275743,-5.218636636,0.000457431
GLEAN_00122,GA11365,11.80032512,-1.652369031,-6.257049846,4.38E-05
GLEAN_04871,GA26776,8.232771295,-1.610419749,-5.031630016,0.000698735
GLEAN_08702,GA28185,6.506621668,-1.563073859,-2.911678726,0.045350254
GLEAN_05961,GA27173,6.499624034,-1.561549569,-12.76799395,9.44E-11
GLEAN_06991,GA18521,9.556211568,-1.480048306,-6.356328923,3.46E-05
GLEAN_02862,GA29310,7.348122189,-1.448343035,-3.861277086,0.00760712
GLEAN_17516,GA21235,9.608881389,-1.419958855,-5.690053515,0.000167865
GLEAN_04842,GA26764,8.632984292,-1.416471257,-5.470930948,0.000259497
GLEAN_04186,GA12884,10.47861817,-1.39081178,-7.214532761,5.18E-06
GLEAN_16129,GA17825,9.626424703,-1.322511148,-4.641369029,0.001613227
