ID,logFC,AveExpr,t,P.Value,adj.P.Val,Symbol,Chromosome,GenBank,Gene
1633435_a_at,-2.008884556,6.760426263,-17.23953266,1.73E-13,1.33E-09,CG12061,XHet,CG12061-RA,3354990
1641727_at,-1.135234149,6.928871941,-17.05741569,2.11E-13,1.33E-09,CG17470,2L,CG17470-RA,35321
1629479_a_at,0.533022664,10.92239897,15.04274727,2.20E-12,9.23E-09,fok,2L,CG10746-RB,44380
1627162_at,1.601837728,9.508252242,14.77190316,3.08E-12,9.24E-09,CG31681,2L,CG31681-RA,318882
1637859_at,-1.615301483,4.879698513,-14.4870231,4.41E-12,9.24E-09,ATbp,XHet,CG40145-RC,5740592
1636826_at,-0.656225435,4.764778143,-14.38547628,5.02E-12,9.24E-09,CG14072,2L,CG14072-RA,34513
1630310_at,-1.997187685,6.600589819,-14.32074379,5.45E-12,9.24E-09,CG32751,X,CG32751-RA,318189
1637567_at,1.279291545,10.24084133,14.26164313,5.88E-12,9.24E-09,CG30360,2R,CG30360-RA,246565
1625341_at,-0.969013311,5.837204203,-13.80090518,1.07E-11,1.50E-08,FucTC,X,CG40305-RA,3355171
1626088_at,1.080676921,7.857025274,13.49707957,1.61E-11,2.00E-08,CG2177,4,CG2177-RA,43786
1637602_at,-0.55181791,9.037453201,-13.43165154,1.75E-11,2.00E-08,Edem1,X,CG3810-RC,31154
1636507_at,-0.837190985,8.663728318,-13.24289949,2.27E-11,2.26E-08,vanin-like,X,CG32754-RA,31551
1638508_at,1.221030697,7.064025373,13.2211894,2.33E-11,2.26E-08,CG14934,2L,CG14934-RA,34597
1623066_at,-0.507450751,7.612682749,-12.98906626,3.21E-11,2.88E-08,Irk3,2L,CG10369-RA,35131
1627895_at,-0.763824757,10.9826281,-12.87204151,3.78E-11,3.17E-08,CG18404,3R,CG18404-RA,43603
1639594_at,0.871593581,6.68067182,12.4029178,7.35E-11,5.78E-08,CG40485,X,CG40485-RB,3355165
1633861_at,-0.486025495,7.356537883,-12.35572802,7.87E-11,5.81E-08,CG8145,3R,CG8145-RA,41038
1639641_at,-0.483548393,10.71445872,-12.31708228,8.32E-11,5.81E-08,CG8560,3L,CG8560-RA,38830
1626392_s_at,-1.272544059,8.344699424,-12.12894146,1.09E-10,7.24E-08,Mef2,2R,TRANSPOSON,36032
1631165_at,-0.441712973,6.13262791,-11.79275543,1.80E-10,1.13E-07,CG4688,2R,CG4688-RA,36467
1626508_at,0.273817077,9.85644962,11.21074539,4.37E-10,2.61E-07,CG32428,3L,CG32428-RA,50105
1637224_at,-0.713073123,9.689024534,-10.90649096,7.04E-10,4.02E-07,CG13905,3L,CG13905-RA,38107
1626536_at,-0.738256806,9.376608789,-10.73804395,9.20E-10,5.03E-07,CG6776,3L,CG6776-RA,38972
1639278_at,-0.499430093,5.900510829,-10.7016335,9.76E-10,5.11E-07,ETH,2R,CG18105-RA,44125
1640848_at,0.573898225,4.474852484,10.53448797,1.28E-09,6.43E-07,CG11597,3L,CG11597-RA,39337
1633684_at,0.724041953,10.19838971,10.40016475,1.59E-09,7.70E-07,CG32444,3L,CG32444-RA,40406
1632975_at,0.649628666,6.70156723,10.35051441,1.73E-09,8.04E-07,CG4398,2R,CG4398-RA,36838
1629308_at,-0.523748966,10.81823438,-9.951240064,3.36E-09,1.51E-06,CG17192,3R,CG17192-RA,43248
1625697_at,0.689656255,9.168480617,9.748091704,4.75E-09,2.06E-06,Cyp6g1,2R,CG8453-RA,36316
1639401_at,0.64511222,11.78825139,9.654930079,5.57E-09,2.27E-06,LvpH,2R,CG8696-RA,35824
1625651_at,0.61165836,7.477935802,9.651500162,5.61E-09,2.27E-06,CG18317,2L,CG18317-RA,33350
1633480_at,-0.37015286,7.194229919,-9.618884789,5.93E-09,2.33E-06,Reck,3L,CG5392-RA,39629
1641062_at,0.614845048,7.097623044,9.537262885,6.83E-09,2.60E-06,Ady43A,2R,CG1851-RA,44750
1634019_at,0.713156556,7.706254107,9.47534277,7.61E-09,2.81E-06,CG2064,2R,CG2064-RA,35708
1626401_at,-0.472547398,7.146471751,-9.424530868,8.32E-09,2.99E-06,Cyp6a2,2R,CG9438-RA,35587
1630919_at,0.653583181,6.992336932,9.291171869,1.05E-08,3.67E-06,pip,3L,CG9614-RA,40104
1634289_at,-0.317105273,8.99980881,-9.224276127,1.18E-08,4.03E-06,rb,X,CG11427-RA,31381
1638905_s_at,-0.514086834,7.144486796,-9.19967052,1.24E-08,4.09E-06,CG4839,2L,CG4839-RB,34348
1639550_a_at,-0.432027267,6.579654706,-9.174842322,1.29E-08,4.17E-06,CG9650,X,CG9650-RA,31660
1636888_a_at,-0.471789123,9.253967887,-9.142566621,1.37E-08,4.25E-06,Aph-4,3R,CG1462-RA,43671
1628328_at,-0.320134525,8.748161653,-9.135933139,1.39E-08,4.25E-06,GstE10,2R,CG17522-RA,37105
