,GAMupsig.oddsratio,GAMupsig.pval,GAMupsig.adjpval,GAMdownsig.oddsratio,GAMdownsig.pval,GAMdownsig.adjpval,GBMupsig.oddsratio,GBMupsig.pval,GBMupsig.adjpval,GBMdownsig.oddsratio,GBMdownsig.pval,GBMdownsig.adjpval,GCMupsig.oddsratio,GCMupsig.pval,GCMupsig.adjpval,GCMdownsig.oddsratio,GCMdownsig.pval,GCMdownsig.adjpval,GDMupsig.oddsratio,GDMupsig.pval,GDMupsig.adjpval,GDMdownsig.oddsratio,GDMdownsig.pval,GDMdownsig.adjpval,GEMupsig.oddsratio,GEMupsig.pval,GEMupsig.adjpval,GEMdownsig.oddsratio,GEMdownsig.pval,GEMdownsig.adjpval,GFMupsig.oddsratio,GFMupsig.pval,GFMupsig.adjpval,GFMdownsig.oddsratio,GFMdownsig.pval,GFMdownsig.adjpval,GGMupsig.oddsratio,GGMupsig.pval,GGMupsig.adjpval,GGMdownsig.oddsratio,GGMdownsig.pval,GGMdownsig.adjpval
Accessory glands,0,1,18,3.130723816,0.061074874,1.099347731,2.061660595,0.047654291,0.857777241,0.722530985,0.799503807,14.39106853,0.751436954,0.747768833,13.459839,0.828737864,0.704418116,12.67952609,2.817466565,0.123000716,2.214012892,0.626185752,0.80189458,14.43410244,0,1,18,2.817467098,0.034038826,0.612698875,0,1,18,18.77783075,0.026034712,0.468624808,2.683346129,0.212413575,3.823444347,0.52182037,0.853734747,15.36722545
Brain,0,1,18,0,1,18,0.988747012,0.583438845,10.50189922,0,1,18,2.584007356,0.062691292,1.128443264,0,1,18,3.41076604,0.082084737,1.47752527,0.758030602,0.740496479,13.32893662,0.758030602,0.740496479,13.32893662,0.454838407,0.888243731,15.98838717,0,1,18,0,1,18,0,1,18,0,1,18
Carcass,0,1,18,0.960145447,0.658538449,11.85369209,0.293934176,0.965071141,17.37128055,3.927748965,0.000220179,0.003963213,0.553924762,0.836779362,15.06202852,0.400074371,0.916529143,16.49752457,4.32006747,0.048066337,0.86519406,2.057333922,0.279207603,5.025736852,0.960145447,0.658538449,11.85369209,0.576082286,0.82545447,14.85818046,0,1,18,0,1,18,0,1,18,0.800121625,0.720814113,12.97465404
Crop,0,1,18,0,1,18,1.304810259,0.381948051,6.875064921,2.143523807,0.059522943,1.07141297,4.28674428,0.005692907,0.102472331,0.857465881,0.681659174,12.26986514,6.667570005,0.006943869,0.124989646,1.000399983,0.643959084,11.59126352,1.000399983,0.643959084,11.59126352,1.250446898,0.489700109,8.814601967,0,1,18,0,1,18,1.875703711,0.440673278,7.932119003,0.833647447,0.706603997,12.71887194
Eye,0,1,18,0.436367748,0.897173057,16.14911502,0.892522677,0.665580798,11.98045436,1.785003817,0.061061274,1.09910293,2.290706444,0.057763231,1.039738159,0.577541878,0.884638629,15.92349533,5.60935732,0.004051557,0.072928025,0.935036751,0.645954805,11.62718649,0.436367748,0.897173057,16.14911502,0.261824082,0.975158614,17.55285505,0,1,18,0,1,18,0,1,18,0.770045571,0.73810909,13.28596362
Fat body,0,1,18,0,1,18,0.913365068,0.669193307,12.04547953,3.442189183,0.034652475,0.623744551,0,1,18,0,1,18,3.729294788,0.250186472,4.503356502,0,1,18,0,1,18,0,1,18,0,1,18,0,1,18,0,1,18,0,1,18
Head,0,1,18,0.342162611,0.942031634,16.95656941,0.570266511,0.927040975,16.68673755,0.85538051,0.713014739,12.8342653,4.105337702,0.000551379,0.00992482,0.801922197,0.743315269,13.37967485,4.398581347,0.011432191,0.20577944,0.733189768,0.761436482,13.70585667,0.733189768,0.761436482,13.70585667,0,1,18,0,1,18,0,1,18,0.641545807,0.798562776,14.37412998,0.285136994,0.966003846,17.38806923
Heart,0,1,18,2.138666662,0.199971124,3.59948024,0.386185519,0.961805666,17.312502,4.389748489,3.61E-06,6.49E-05,1.158501688,0.497251648,8.950529668,2.162426662,0.06374141,1.147345387,2.780169644,0.126387647,2.27497765,2.138666662,0.199971124,3.59948024,0.617890212,0.805941407,14.50694532,1.685039372,0.244199103,4.395583846,0,1,18,18.52924475,0.026646572,0.47963829,1.158501671,0.602464193,10.84435547,2.471309172,0.107083051,1.927494922
Hindgut,5.543903429,0.208425026,3.751650462,0,1,18,1.446391612,0.315498618,5.678975115,0.616080502,0.833869122,15.0096442,2.079142449,0.195879862,3.52583752,0.950523523,0.628410536,11.31138965,3.024053021,0.166251771,2.99253187,1.108928632,0.607251681,10.93053026,1.108928632,0.607251681,10.93053026,1.386133128,0.438623504,7.895223077,0,1,18,0,1,18,4.751982446,0.08895203,1.601136535,0,1,18
Malpighian tubule,2.921520645,0.35099937,6.317988654,1.252196647,0.49856547,8.974178468,1.195282618,0.406575736,7.318363248,2.649822307,0.003798556,0.068374007,3.690284256,0.004530508,0.081549148,2.817219928,0.010865502,0.195579029,2.629439974,0.141370482,2.544668684,2.022725891,0.221355822,3.984404788,2.022725891,0.221355822,3.984404788,0.730485521,0.760972388,13.69750299,0,1,18,0,1,18,0,1,18,1.031240628,0.593438632,10.68189538
